X,y_true
iphone 13 pro max,iPhone 13 Pro Max
iphone 13 promax,iPhone 13 Pro Max
iphone 13 pro,iPhone 13 Pro
iphone 13,iPhone 13
samsung galaxy s21,Samsung Galaxy S21
samsung galaxy s21 ultra,Samsung Galaxy S21 Ultra
samsung s21,Samsung Galaxy S21
samsung s21 ultra,Samsung Galaxy S21 Ultra
macbook pro m1,MacBook Pro M1
macbook pro m1 max,MacBook Pro M1 Max
macbook m1,MacBook M1
macbook m1 pro,MacBook M1 Pro
airpods pro 2nd gen,AirPods Pro (2nd Generation)
airpods pro 2,AirPods Pro (2nd Generation)
airpods pro second generation,AirPods Pro (2nd Generation)
airpods 2nd gen,AirPods (2nd Generation)
airpods 3rd gen,AirPods (3rd Generation)
airpods 3,AirPods (3rd Generation)
galaxy buds pro,Samsung Galaxy Buds Pro
samsung buds pro,Samsung Galaxy Buds Pro
galaxy buds 2,Samsung Galaxy Buds2
samsung buds 2,Samsung Galaxy Buds2
tide original detergent,Tide Original Laundry Detergent
tide detergent original,Tide Original Laundry Detergent
tide pods original,Tide Pods Original
tide pods spring meadow,Tide Pods Spring Meadow
tide spring meadow detergent,Tide Spring Meadow Detergent
bounty paper towels,Bounty Select-A-Size Paper Towels
bounty select a size,Bounty Select-A-Size Paper Towels
bounty select size,Bounty Select-A-Size Paper Towels
charmin ultra soft,Charmin Ultra Soft Toilet Paper
charmin toilet paper ultra soft,Charmin Ultra Soft Toilet Paper
charmin ultra strong,Charmin Ultra Strong Toilet Paper
clorox original,Clorox Original Bleach
clorox bleach,Clorox Original Bleach
clorox disinfecting wipes,Clorox Disinfecting Wipes
lysol disinfectant spray,Lysol Disinfectant Spray
lysol spray,Lysol Disinfectant Spray
lysol wipes,Lysol Disinfecting Wipes
dawn dish soap original,Dawn Original Dish Soap
dawn original,Dawn Original Dish Soap
dawn ultra dish soap,Dawn Ultra Dish Soap
cheerios original,Cheerios Original Cereal
plain cheerios,Cheerios Original Cereal
honey nut cheerios,Honey Nut Cheerios
frosted flakes,Kellogg's Frosted Flakes
kelloggs frosted flakes,Kellogg's Frosted Flakes
fruit loops,Kellogg's Froot Loops
froot loops,Kellogg's Froot Loops
kelloggs fruit loops,Kellogg's Froot Loops
coca cola original,Coca-Cola Classic
coke classic,Coca-Cola Classic
diet coke,Diet Coca-Cola
coke zero,Coca-Cola Zero Sugar
coca cola zero,Coca-Cola Zero Sugar
pepsi original,Pepsi Original
diet pepsi,Diet Pepsi
pepsi zero sugar,Pepsi Zero Sugar
doritos nacho cheese,Doritos Nacho Cheese
doritos cool ranch,Doritos Cool Ranch
lays classic,Lay's Classic Potato Chips
lays original,Lay's Classic Potato Chips
lays bbq,Lay's BBQ Potato Chips
cheetos original,Cheetos Original
cheetos crunchy,Cheetos Crunchy
cheetos flamin hot,Cheetos Flamin' Hot
oreo original,Oreo Original Cookies
oreo double stuf,Oreo Double Stuf Cookies
oreo mint creme,Oreo Mint Creme Cookies
chips ahoy original,Chips Ahoy! Original
chips ahoy chewy,Chips Ahoy! Chewy
nutella hazelnut spread,Nutella Hazelnut Spread
jif creamy peanut butter,JIF Creamy Peanut Butter
jif crunchy,JIF Crunchy Peanut Butter
skippy creamy,Skippy Creamy Peanut Butter
skippy natural pb,Skippy Natural Peanut Butter
kraft mac and cheese original,Kraft Original Mac & Cheese
kraft mac n cheese,Kraft Original Mac & Cheese
kraft dinner original,Kraft Original Mac & Cheese
campbell chicken noodle soup,Campbell's Chicken Noodle Soup
campbells tomato soup,Campbell's Tomato Soup
progresso chicken noodle,Progresso Traditional Chicken Noodle Soup
heinz ketchup,Heinz Tomato Ketchup
heinz tomato ketchup,Heinz Tomato Ketchup
french's yellow mustard,French's Classic Yellow Mustard
frenchs mustard,French's Classic Yellow Mustard
sriracha hot sauce,Huy Fong Sriracha Hot Sauce
sriracha sauce,Huy Fong Sriracha Hot Sauce
